file,sheet,method,row_index,column_name,value
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,OBJHELY,14037.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,CSOPHELY,14037
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,CSOPSZAM,60
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,VIZIGKOD,7
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,OBJSZAM,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,TERMELES ezerm3/év,0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,SZARMAZAS,2
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,TELEPULES_KAT,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,TELEPÜLÉS,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,HELYINEV_KAT,Kovács Péter talajvíztározó medence
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,HELYINEV,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,EOVY,871536
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,EOVX,318225.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,TSZF,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,OBJKOD,h
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,TALP,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,SZURO_F,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,SZURO_A,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,SZURO_DB,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,SZUROHOSSZ,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,LETESITESEVE,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,NYUGALMI,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,UZEMI,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,HOZAM,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,HOMERS,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,Z,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,5.0,AA,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,6.0,OBJHELY,14037.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,6.0,CSOPHELY,14037
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,6.0,CSOPSZAM,70
